Ticket,Open Time,Action,Size,Symbol,Open Price,Stop Loss,Take Profit,Close Time,Close Price,Commission,Exit Reason,PL,Raw Money Profit,Swap
1,2017-06-07 04:00:00,sell,0.033333333333333326,EURUSD,1.12646,1.13396,1.11146,2017-06-16 04:00:00,1.11459,-0.23,logic_regime_change,39.42,39.57,0.09
2,2017-06-16 04:00:00,buy,0.033333333333333326,EURUSD,1.11459,1.10709,1.12959,2017-06-27 04:00:00,1.11911,-0.23,logic_regime_change,13.92,15.07,-0.92
3,2017-07-07 02:00:00,sell,0.033333333333333326,EURUSD,1.14117,1.14867,1.12617,2017-07-12 04:00:00,1.14867,-0.23,catastrophic_stop_loss,-25.18,-25.0,0.05
4,2017-07-12 07:00:00,sell,0.033333333333333326,EURUSD,1.1459,1.1534,1.1309,2017-07-17 04:00:00,1.14635,-0.23,logic_regime_change,-1.68,-1.5,0.05
5,2017-08-04 05:00:00,sell,0.033333333333333326,EURUSD,1.18798,1.19548,1.17298,2017-08-04 14:00:00,1.17298,-0.23,take_profit,49.77,50.0,0.0
6,2017-08-08 15:00:00,sell,0.033333333333333326,EURUSD,1.17387,1.18137,1.15887,2017-08-11 12:00:00,1.18137,-0.23,catastrophic_stop_loss,-25.2,-25.0,0.03
7,2017-08-14 04:00:00,sell,0.033333333333333326,EURUSD,1.18267,1.19017,1.16767,2017-08-15 04:00:00,1.17821,-0.23,logic_regime_change,14.64,14.87,0.01
8,2017-10-12 04:00:00,buy,0.033333333333333326,EURUSD,1.18751,1.18001,1.20251,2017-10-16 02:00:00,1.18001,-0.23,catastrophic_stop_loss,-25.57,-25.0,-0.33
9,2017-10-16 12:00:00,buy,0.033333333333333326,EURUSD,1.18059,1.17309,1.19559,2017-10-18 09:00:00,1.17309,-0.23,catastrophic_stop_loss,-25.4,-25.0,-0.17
10,2017-10-18 14:00:00,buy,0.033333333333333326,EURUSD,1.17646,1.16896,1.19146,2017-10-23 04:00:00,1.17698,-0.23,logic_regime_change,1.08,1.73,-0.42
11,2017-10-23 04:00:00,sell,0.033333333333333326,EURUSD,1.17698,1.18448,1.16198,2017-10-27 07:00:00,1.16198,-0.23,take_profit,49.81,50.0,0.04
12,2017-10-27 15:00:00,sell,0.033333333333333326,EURUSD,1.15804,1.16554,1.14304,2017-10-30 19:00:00,1.16554,-0.23,catastrophic_stop_loss,-25.2,-25.0,0.03
13,2017-10-31 04:00:00,sell,0.033333333333333326,EURUSD,1.16366,1.17116,1.14866,2017-11-01 04:00:00,1.16316,-0.23,logic_regime_change,1.44,1.67,0.01
14,2017-11-10 05:00:00,sell,0.033333333333333326,EURUSD,1.16441,1.17191,1.14941,2017-11-14 09:00:00,1.17191,-0.23,catastrophic_stop_loss,-25.19,-25.0,0.04
15,2017-11-15 03:00:00,sell,0.033333333333333326,EURUSD,1.17933,1.18683,1.16433,2017-11-21 05:00:00,1.17388,-0.23,logic_regime_change,17.99,18.17,0.06
16,2017-11-21 05:00:00,buy,0.033333333333333326,EURUSD,1.17388,1.16638,1.18888,2017-11-24 13:00:00,1.18888,-0.23,take_profit,49.52,50.0,-0.25
17,2017-11-29 04:00:00,buy,0.033333333333333326,EURUSD,1.18538,1.17788,1.20038,2017-11-30 05:00:00,1.18621,-0.23,logic_regime_change,2.45,2.77,-0.08
18,2017-12-11 05:00:00,buy,0.033333333333333326,EURUSD,1.17787,1.17037,1.19287,2017-12-20 05:00:00,1.18414,-0.23,logic_regime_change,19.92,20.9,-0.75
19,2018-02-09 17:00:00,sell,0.033333333333333326,EURUSD,1.22258,1.23008,1.20758,2018-02-12 23:00:00,1.23008,-0.23,catastrophic_stop_loss,-25.2,-25.0,0.03
20,2018-02-13 22:00:00,sell,0.033333333333333326,EURUSD,1.23503,1.24253,1.22003,2018-02-14 18:00:00,1.24253,-0.23,catastrophic_stop_loss,-25.22,-25.0,0.01
21,2018-02-15 12:00:00,sell,0.033333333333333326,EURUSD,1.2472,1.2547,1.2322,2018-02-16 04:00:00,1.2547,-0.23,catastrophic_stop_loss,-25.22,-25.0,0.01
22,2018-02-16 09:00:00,sell,0.033333333333333326,EURUSD,1.25337,1.26087,1.23837,2018-02-19 13:00:00,1.23837,-0.23,take_profit,49.8,50.0,0.03
23,2018-02-19 14:00:00,sell,0.033333333333333326,EURUSD,1.23729,1.24479,1.22229,2018-02-20 07:00:00,1.2378,-0.23,logic_regime_change,-1.92,-1.7,0.01
24,2018-05-02 20:00:00,sell,0.033333333333333326,EURUSD,1.19398,1.20148,1.17898,2018-05-02 22:00:00,1.1956,-0.23,logic_regime_change,-5.63,-5.4,0.0
25,2018-05-09 07:00:00,sell,0.033333333333333326,EURUSD,1.18274,1.19024,1.16774,2018-05-10 12:00:00,1.19024,-0.23,catastrophic_stop_loss,-25.22,-25.0,0.01
26,2018-05-11 03:00:00,sell,0.033333333333333326,EURUSD,1.19149,1.19899,1.17649,2018-05-14 09:00:00,1.19899,-0.23,catastrophic_stop_loss,-25.2,-25.0,0.03
27,2018-05-14 15:00:00,sell,0.033333333333333326,EURUSD,1.19687,1.20437,1.18187,2018-05-15 22:00:00,1.18187,-0.23,take_profit,49.78,50.0,0.01
28,2018-05-16 12:00:00,sell,0.033333333333333326,EURUSD,1.17871,1.18621,1.16371,2018-05-18 06:00:00,1.18112,-0.23,logic_regime_change,-8.25,-8.03,0.02
29,2018-05-23 08:00:00,sell,0.033333333333333326,EURUSD,1.17117,1.17867,1.15617,2018-05-23 14:00:00,1.17058,-0.23,logic_regime_change,1.73,1.97,0.0
30,2018-05-25 12:00:00,sell,0.033333333333333326,EURUSD,1.16687,1.17437,1.15187,2018-05-25 15:00:00,1.16554,-0.23,logic_regime_change,4.2,4.43,0.0
31,2018-05-29 06:00:00,buy,0.033333333333333326,EURUSD,1.16306,1.15556,1.17806,2018-05-29 08:00:00,1.15556,-0.23,catastrophic_stop_loss,-25.23,-25.0,-0.0
32,2018-05-29 22:00:00,buy,0.033333333333333326,EURUSD,1.15429,1.14679,1.16929,2018-05-31 06:00:00,1.16929,-0.23,take_profit,49.6,50.0,-0.17
33,2018-05-31 08:00:00,buy,0.033333333333333326,EURUSD,1.17119,1.16369,1.18619,2018-06-01 14:00:00,1.16369,-0.23,catastrophic_stop_loss,-25.32,-25.0,-0.08
34,2018-06-04 02:00:00,buy,0.033333333333333326,EURUSD,1.16895,1.16145,1.18395,2018-06-07 12:00:00,1.18395,-0.23,take_profit,49.52,50.0,-0.25
35,2018-06-08 19:00:00,buy,0.033333333333333326,EURUSD,1.17698,1.16948,1.19198,2018-06-14 12:00:00,1.16948,-0.23,catastrophic_stop_loss,-25.73,-25.0,-0.5
36,2018-06-15 06:00:00,buy,0.033333333333333326,EURUSD,1.15614,1.14864,1.17114,2018-06-18 06:00:00,1.15932,-0.23,logic_regime_change,10.12,10.6,-0.25
37,2018-06-27 09:00:00,sell,0.033333333333333326,EURUSD,1.16277,1.17027,1.14777,2018-07-05 06:00:00,1.17027,-0.23,catastrophic_stop_loss,-25.15,-25.0,0.08
38,2018-07-05 18:00:00,sell,0.033333333333333326,EURUSD,1.16771,1.17521,1.15271,2018-07-06 06:00:00,1.17003,-0.23,logic_regime_change,-7.96,-7.73,0.01
39,2018-07-11 17:00:00,sell,0.033333333333333326,EURUSD,1.16996,1.17746,1.15496,2018-07-11 18:00:00,1.16735,-0.23,logic_regime_change,8.47,8.7,0.0
40,2018-10-03 07:00:00,buy,0.033333333333333326,EURUSD,1.15824,1.15074,1.17324,2018-10-03 20:00:00,1.15074,-0.23,catastrophic_stop_loss,-25.23,-25.0,-0.0
41,2018-10-04 08:00:00,buy,0.033333333333333326,EURUSD,1.14935,1.14185,1.16435,2018-10-12 07:00:00,1.15913,-0.23,logic_regime_change,31.7,32.6,-0.67
42,2018-10-23 07:00:00,sell,0.033333333333333326,EURUSD,1.14658,1.15408,1.13158,2018-10-31 13:00:00,1.13158,-0.23,take_profit,49.85,50.0,0.08
43,2018-12-20 14:00:00,buy,0.033333333333333326,EURUSD,1.14463,1.13713,1.15963,2018-12-21 18:00:00,1.13713,-0.23,catastrophic_stop_loss,-25.32,-25.0,-0.08
44,2018-12-24 04:00:00,buy,0.033333333333333326,EURUSD,1.13897,1.13147,1.15397,2019-01-02 22:00:00,1.13147,-0.23,catastrophic_stop_loss,-25.98,-25.0,-0.75
45,2019-01-03 03:00:00,buy,0.033333333333333326,EURUSD,1.13582,1.12832,1.15082,2019-01-04 16:00:00,1.14105,-0.23,logic_regime_change,17.12,17.43,-0.08
46,2019-01-07 00:00:00,buy,0.033333333333333326,EURUSD,1.14102,1.13352,1.15602,2019-01-09 15:00:00,1.15242,-0.23,logic_regime_change,37.6,38.0,-0.17
47,2019-01-09 16:00:00,buy,0.033333333333333326,EURUSD,1.15104,1.14354,1.16604,2019-01-11 15:00:00,1.14698,-0.23,logic_regime_change,-13.93,-13.53,-0.17
48,2019-01-14 06:00:00,buy,0.033333333333333326,EURUSD,1.14785,1.14035,1.16285,2019-01-15 16:00:00,1.14035,-0.23,catastrophic_stop_loss,-25.32,-25.0,-0.08
49,2019-01-16 01:00:00,buy,0.033333333333333326,EURUSD,1.14109,1.13359,1.15609,2019-01-24 11:00:00,1.13359,-0.23,catastrophic_stop_loss,-25.9,-25.0,-0.67
50,2019-01-25 03:00:00,buy,0.033333333333333326,EURUSD,1.13203,1.12453,1.14703,2019-01-30 19:00:00,1.14703,-0.23,take_profit,49.35,50.0,-0.42
51,2019-01-31 02:00:00,buy,0.033333333333333326,EURUSD,1.14932,1.14182,1.16432,2019-02-05 08:00:00,1.14182,-0.23,catastrophic_stop_loss,-25.65,-25.0,-0.42
52,2019-02-06 01:00:00,buy,0.033333333333333326,EURUSD,1.14066,1.13316,1.15566,2019-02-07 11:00:00,1.13316,-0.23,catastrophic_stop_loss,-25.32,-25.0,-0.08
53,2019-02-07 16:00:00,buy,0.033333333333333326,EURUSD,1.13566,1.12816,1.15066,2019-02-11 15:00:00,1.12816,-0.23,catastrophic_stop_loss,-25.57,-25.0,-0.33
54,2019-03-13 14:00:00,buy,0.033333333333333326,EURUSD,1.13076,1.12326,1.14576,2019-03-13 19:00:00,1.13293,-0.23,logic_regime_change,7.0,7.23,-0.0
55,2019-03-13 20:00:00,buy,0.033333333333333326,EURUSD,1.13336,1.12586,1.14836,2019-03-15 14:00:00,1.133,-0.23,logic_regime_change,-1.6,-1.2,-0.17
56,2019-03-18 03:00:00,buy,0.033333333333333326,EURUSD,1.13326,1.12576,1.14826,2019-03-20 19:00:00,1.14458,-0.23,logic_regime_change,37.33,37.73,-0.17
57,2019-03-21 02:00:00,buy,0.033333333333333326,EURUSD,1.14315,1.13565,1.15815,2019-03-21 15:00:00,1.13714,-0.23,logic_regime_change,-20.27,-20.03,-0.0
58,2019-04-11 00:00:00,buy,0.033333333333333326,EURUSD,1.12761,1.12011,1.14261,2019-04-22 00:00:00,1.12443,-0.23,logic_regime_change,-11.75,-10.6,-0.92
59,2019-05-01 10:00:00,buy,0.033333333333333326,EURUSD,1.12346,1.11596,1.13846,2019-05-03 07:00:00,1.11596,-0.23,catastrophic_stop_loss,-25.4,-25.0,-0.17
60,2019-05-03 08:00:00,buy,0.033333333333333326,EURUSD,1.11679,1.10929,1.13179,2019-06-07 12:00:00,1.13179,-0.23,take_profit,46.85,50.0,-2.92
61,2019-06-07 13:00:00,buy,0.033333333333333326,EURUSD,1.13171,1.12421,1.14671,2019-06-10 00:00:00,1.13193,-0.23,logic_regime_change,0.25,0.73,-0.25
62,2019-06-28 03:00:00,sell,0.033333333333333326,EURUSD,1.13688,1.14438,1.12188,2019-07-05 13:00:00,1.12188,-0.23,take_profit,49.84,50.0,0.07
63,2019-07-09 09:00:00,sell,0.033333333333333326,EURUSD,1.1199,1.1274,1.1049,2019-07-11 03:00:00,1.1274,-0.23,catastrophic_stop_loss,-25.21,-25.0,0.02
64,2019-07-11 09:00:00,sell,0.033333333333333326,EURUSD,1.12735,1.13485,1.11235,2019-07-18 00:00:00,1.12271,-0.23,logic_regime_change,15.3,15.47,0.07
65,2019-08-16 04:00:00,buy,0.033333333333333326,EURUSD,1.11028,1.10278,1.12528,2019-08-30 14:00:00,1.10278,-0.23,catastrophic_stop_loss,-26.4,-25.0,-1.17
66,2019-09-02 02:00:00,buy,0.033333333333333326,EURUSD,1.09909,1.09159,1.11409,2019-09-12 14:00:00,1.10353,-0.23,logic_regime_change,13.73,14.8,-0.83
67,2019-09-12 14:00:00,sell,0.033333333333333326,EURUSD,1.10353,1.11103,1.08853,2019-09-12 18:00:00,1.10673,-0.23,logic_regime_change,-10.9,-10.67,0.0
68,2019-09-12 18:00:00,buy,0.033333333333333326,EURUSD,1.10673,1.09923,1.12173,2019-09-17 06:00:00,1.09923,-0.23,catastrophic_stop_loss,-25.65,-25.0,-0.42
69,2019-09-19 07:00:00,buy,0.033333333333333326,EURUSD,1.10451,1.09701,1.11951,2019-09-23 07:00:00,1.09701,-0.23,catastrophic_stop_loss,-25.57,-25.0,-0.33
70,2019-09-23 17:00:00,buy,0.033333333333333326,EURUSD,1.09873,1.09123,1.11373,2019-09-26 19:00:00,1.09123,-0.23,catastrophic_stop_loss,-25.48,-25.0,-0.25
71,2019-09-27 03:00:00,buy,0.033333333333333326,EURUSD,1.09194,1.08444,1.10694,2019-10-01 15:00:00,1.0916,-0.23,logic_regime_change,-1.7,-1.13,-0.33
72,2019-10-01 16:00:00,buy,0.033333333333333326,EURUSD,1.09313,1.08563,1.10813,2019-10-04 00:00:00,1.09746,-0.23,logic_regime_change,13.95,14.43,-0.25
73,2019-10-15 00:00:00,sell,0.033333333333333326,EURUSD,1.1026,1.1101,1.0876,2019-10-17 09:00:00,1.1101,-0.23,catastrophic_stop_loss,-25.21,-25.0,0.02
74,2019-10-17 22:00:00,sell,0.033333333333333326,EURUSD,1.1127,1.1202,1.0977,2019-10-24 00:00:00,1.11321,-0.23,logic_regime_change,-1.86,-1.7,0.07
75,2019-10-24 00:00:00,buy,0.033333333333333326,EURUSD,1.11321,1.10571,1.12821,2019-10-24 13:00:00,1.11494,-0.23,logic_regime_change,5.53,5.77,-0.0
76,2019-10-24 14:00:00,sell,0.033333333333333326,EURUSD,1.11163,1.11913,1.09663,2019-10-24 20:00:00,1.10999,-0.23,logic_regime_change,5.23,5.47,0.0
77,2019-10-25 06:00:00,buy,0.033333333333333326,EURUSD,1.11089,1.10339,1.12589,2019-11-01 13:00:00,1.11316,-0.23,logic_regime_change,6.75,7.57,-0.58
78,2019-11-01 13:00:00,sell,0.033333333333333326,EURUSD,1.11316,1.12066,1.09816,2019-11-01 19:00:00,1.11633,-0.23,logic_regime_change,-10.8,-10.57,0.0
79,2019-11-01 19:00:00,buy,0.033333333333333326,EURUSD,1.11633,1.10883,1.13133,2019-11-04 01:00:00,1.11604,-0.23,logic_regime_change,-1.45,-0.97,-0.25
80,2019-11-13 01:00:00,sell,0.033333333333333326,EURUSD,1.10091,1.10841,1.08591,2019-11-18 16:00:00,1.10841,-0.23,catastrophic_stop_loss,-25.18,-25.0,0.05
81,2019-11-18 22:00:00,sell,0.033333333333333326,EURUSD,1.10712,1.11462,1.09212,2019-11-22 01:00:00,1.10627,-0.23,logic_regime_change,2.64,2.83,0.04
82,2020-01-03 03:00:00,buy,0.033333333333333326,EURUSD,1.11726,1.10976,1.13226,2020-01-09 10:00:00,1.10976,-0.23,catastrophic_stop_loss,-25.73,-25.0,-0.5
83,2020-01-10 16:00:00,buy,0.033333333333333326,EURUSD,1.11129,1.10379,1.12629,2020-01-14 01:00:00,1.11385,-0.23,logic_regime_change,7.97,8.53,-0.33
84,2020-02-03 02:00:00,buy,0.033333333333333326,EURUSD,1.10831,1.10081,1.12331,2020-02-03 15:00:00,1.10474,-0.23,logic_regime_change,-12.13,-11.9,-0.0
85,2020-02-04 23:00:00,buy,0.033333333333333326,EURUSD,1.10446,1.09696,1.11946,2020-02-05 10:00:00,1.10254,-0.23,logic_regime_change,-6.72,-6.4,-0.08
86,2020-02-06 02:00:00,buy,0.033333333333333326,EURUSD,1.09981,1.09231,1.11481,2020-02-06 15:00:00,1.09882,-0.23,logic_regime_change,-3.53,-3.3,-0.0
