time_utc,open,high,low,close,tick_volume
2016-01-03 22:00:00,1.08721,1.08725,1.08274,1.08600,8772
2016-01-04 02:00:00,1.08597,1.09047,1.08584,1.08976,14276
2016-01-04 06:00:00,1.08973,1.09462,1.08822,1.09294,23604
2016-01-04 10:00:00,1.09291,1.09360,1.08460,1.08548,20996
2016-01-04 14:00:00,1.08547,1.08630,1.07812,1.08181,28442
2016-01-04 18:00:00,1.08183,1.08370,1.08126,1.08327,10930
2016-01-04 22:00:00,1.08301,1.08388,1.08179,1.08249,9074
2016-01-05 02:00:00,1.08248,1.08345,1.08151,1.08312,7458
2016-01-05 06:00:00,1.08311,1.08366,1.07722,1.07728,20502
2016-01-05 10:00:00,1.07709,1.07847,1.07392,1.07421,20528
2016-01-05 14:00:00,1.07422,1.07574,1.07107,1.07456,22052
2016-01-05 18:00:00,1.07455,1.07554,1.07332,1.07494,9262
2016-01-05 22:00:00,1.07474,1.07729,1.07392,1.07613,9796
2016-01-06 02:00:00,1.07616,1.07706,1.07413,1.07449,11200
2016-01-06 06:00:00,1.07450,1.07550,1.07192,1.07345,18468
2016-01-06 10:00:00,1.07346,1.07600,1.07149,1.07393,19392
2016-01-06 14:00:00,1.07394,1.07672,1.07331,1.07548,21792
2016-01-06 18:00:00,1.07550,1.07993,1.07481,1.07802,16648
2016-01-06 22:00:00,1.07772,1.08100,1.07737,1.08024,11168
2016-01-07 02:00:00,1.08025,1.08293,1.07994,1.08275,11424
2016-01-07 06:00:00,1.08272,1.08694,1.07711,1.08458,24240
2016-01-07 10:00:00,1.08457,1.08745,1.08349,1.08586,22304
2016-01-07 14:00:00,1.08582,1.08749,1.08262,1.08624,27542
2016-01-07 18:00:00,1.08627,1.09400,1.08625,1.09284,18544
2016-01-07 22:00:00,1.09312,1.09335,1.08717,1.08837,13474
2016-01-08 02:00:00,1.08857,1.08904,1.08722,1.08781,9024
2016-01-08 06:00:00,1.08784,1.08997,1.08550,1.08731,19956
2016-01-08 10:00:00,1.08732,1.08774,1.08033,1.08425,19942
2016-01-08 14:00:00,1.08407,1.09168,1.08340,1.08882,33920
2016-01-08 18:00:00,1.08871,1.09300,1.08860,1.09265,15848
2016-01-10 22:00:00,1.09205,1.09693,1.09177,1.09375,14460
2016-01-11 02:00:00,1.09376,1.09377,1.09080,1.09181,8904
2016-01-11 06:00:00,1.09179,1.09339,1.08723,1.08856,20322
2016-01-11 10:00:00,1.08854,1.09101,1.08801,1.08813,18774
2016-01-11 14:00:00,1.08812,1.08999,1.08481,1.08811,27820
2016-01-11 18:00:00,1.08809,1.08987,1.08501,1.08591,13628
2016-01-11 22:00:00,1.08560,1.08659,1.08413,1.08548,9972
2016-01-12 02:00:00,1.08552,1.08847,1.08544,1.08754,10034
2016-01-12 06:00:00,1.08756,1.09003,1.08545,1.08568,21912
2016-01-12 10:00:00,1.08567,1.08605,1.08331,1.08517,22116
2016-01-12 14:00:00,1.08516,1.08608,1.08198,1.08393,27658
2016-01-12 18:00:00,1.08392,1.08777,1.08304,1.08574,14722
2016-01-12 22:00:00,1.08577,1.08592,1.08201,1.08242,10424
2016-01-13 02:00:00,1.08231,1.08350,1.08112,1.08294,12610
2016-01-13 06:00:00,1.08293,1.08380,1.08053,1.08192,21764
2016-01-13 10:00:00,1.08190,1.08316,1.08050,1.08303,19272
2016-01-13 14:00:00,1.08311,1.08821,1.08242,1.08502,27862
2016-01-13 18:00:00,1.08509,1.08877,1.08446,1.08748,18122
2016-01-13 22:00:00,1.08778,1.08956,1.08761,1.08807,12710
2016-01-14 02:00:00,1.08808,1.08970,1.08757,1.08788,9324
2016-01-14 06:00:00,1.08787,1.09367,1.08542,1.09023,24972
2016-01-14 10:00:00,1.09022,1.09430,1.08827,1.08951,28292
2016-01-14 14:00:00,1.08952,1.09179,1.08347,1.08614,30362
2016-01-14 18:00:00,1.08613,1.08703,1.08469,1.08664,14536
2016-01-14 22:00:00,1.08646,1.08789,1.08547,1.08723,10060
2016-01-15 02:00:00,1.08724,1.08894,1.08686,1.08788,11778
2016-01-15 06:00:00,1.08785,1.09175,1.08610,1.09052,25982
2016-01-15 10:00:00,1.09054,1.09847,1.08901,1.09568,26386
2016-01-15 14:00:00,1.09572,1.09833,1.09302,1.09514,36892
2016-01-15 18:00:00,1.09515,1.09615,1.09056,1.09130,19048
2016-01-17 22:00:00,1.09160,1.09275,1.08940,1.08985,12248
2016-01-18 02:00:00,1.08986,1.09089,1.08871,1.08962,11570
2016-01-18 06:00:00,1.08968,1.09094,1.08747,1.08993,22350
2016-01-18 10:00:00,1.08994,1.09045,1.08855,1.08937,17774
2016-01-18 14:00:00,1.08936,1.09007,1.08689,1.08914,13684
2016-01-18 22:00:00,1.08908,1.08975,1.08809,1.08866,8094
2016-01-19 02:00:00,1.08877,1.09050,1.08792,1.08836,11030
2016-01-19 06:00:00,1.08838,1.08889,1.08595,1.08723,19570
2016-01-19 10:00:00,1.08729,1.08832,1.08600,1.08661,19880
2016-01-19 14:00:00,1.08662,1.09316,1.08640,1.09272,28196
2016-01-19 18:00:00,1.09267,1.09391,1.09053,1.09074,16330
2016-01-19 22:00:00,1.09060,1.09335,1.09052,1.09236,12050
2016-01-20 02:00:00,1.09237,1.09606,1.09201,1.09488,13128
2016-01-20 06:00:00,1.09490,1.09759,1.09171,1.09236,26124
