time_utc,open,high,low,close,tick_volume
2016-01-03 22:00:00,1062.39000,1066.39000,1061.75000,1063.57000,3518
2016-01-04 02:00:00,1063.55000,1068.96000,1063.35000,1068.67000,5244
2016-01-04 06:00:00,1068.77000,1074.08000,1067.95000,1073.66000,11624
2016-01-04 10:00:00,1073.65000,1079.52000,1070.35000,1078.52000,12140
2016-01-04 14:00:00,1078.54000,1083.50000,1071.28000,1076.15000,20042
2016-01-04 18:00:00,1076.16000,1076.49000,1073.97000,1075.11000,11488
2016-01-04 22:00:00,1073.44000,1077.07000,1072.60000,1076.20000,3470
2016-01-05 02:00:00,1076.30000,1078.93000,1075.65000,1078.30000,4744
2016-01-05 06:00:00,1078.24000,1079.79000,1076.33000,1077.97000,12084
2016-01-05 10:00:00,1078.07000,1081.96000,1075.29000,1075.29000,16100
2016-01-05 14:00:00,1075.27000,1081.18000,1075.20000,1079.67000,15908
2016-01-05 18:00:00,1079.76000,1079.76000,1076.86000,1078.49000,3390
2016-01-05 22:00:00,1077.18000,1078.29000,1075.04000,1075.84000,3770
2016-01-06 02:00:00,1075.98000,1079.34000,1075.48000,1079.22000,5302
2016-01-06 06:00:00,1079.24000,1085.71000,1078.96000,1083.34000,11942
2016-01-06 10:00:00,1083.28000,1089.15000,1082.28000,1084.60000,17172
2016-01-06 14:00:00,1084.69000,1092.95000,1084.38000,1090.94000,18128
2016-01-06 18:00:00,1091.05000,1095.25000,1090.72000,1093.82000,7304
2016-01-06 22:00:00,1093.75000,1097.25000,1091.46000,1097.17000,7762
2016-01-07 02:00:00,1097.14000,1102.80000,1096.51000,1098.76000,10144
2016-01-07 06:00:00,1098.87000,1100.70000,1092.53000,1096.45000,13998
2016-01-07 10:00:00,1096.35000,1104.90000,1095.37000,1101.32000,15832
2016-01-07 14:00:00,1101.26000,1108.84000,1099.47000,1108.77000,25646
2016-01-07 18:00:00,1108.71000,1110.09000,1107.13000,1108.77000,9576
2016-01-07 22:00:00,1108.81000,1112.84000,1101.79000,1103.70000,8330
2016-01-08 02:00:00,1103.72000,1104.85000,1101.33000,1103.29000,6356
2016-01-08 06:00:00,1103.35000,1104.08000,1095.86000,1096.12000,11446
2016-01-08 10:00:00,1096.11000,1101.80000,1092.13000,1099.34000,19270
2016-01-08 14:00:00,1099.31000,1105.65000,1098.92000,1100.71000,31146
2016-01-08 18:00:00,1100.70000,1104.24000,1097.92000,1103.85000,7594
2016-01-10 22:00:00,1103.88000,1108.58000,1103.62000,1105.45000,7244
2016-01-11 02:00:00,1105.35000,1105.66000,1102.66000,1105.04000,5044
2016-01-11 06:00:00,1105.05000,1107.82000,1099.07000,1099.63000,13686
2016-01-11 10:00:00,1099.61000,1105.67000,1099.19000,1100.98000,17612
2016-01-11 14:00:00,1100.88000,1103.41000,1096.32000,1099.16000,18000
2016-01-11 18:00:00,1099.20000,1099.20000,1094.33000,1095.09000,7142
2016-01-11 22:00:00,1094.65000,1097.01000,1093.10000,1095.30000,5402
2016-01-12 02:00:00,1095.29000,1098.08000,1094.97000,1095.79000,6294
2016-01-12 06:00:00,1095.81000,1099.22000,1093.98000,1094.81000,8688
2016-01-12 10:00:00,1094.70000,1095.47000,1085.39000,1088.49000,13940
2016-01-12 14:00:00,1088.45000,1089.81000,1083.47000,1086.34000,21198
2016-01-12 18:00:00,1086.38000,1093.23000,1085.10000,1089.43000,7956
2016-01-12 22:00:00,1086.98000,1088.01000,1084.51000,1085.54000,4308
2016-01-13 02:00:00,1085.52000,1085.99000,1082.99000,1085.19000,5138
2016-01-13 06:00:00,1085.18000,1085.67000,1079.86000,1081.28000,10486
2016-01-13 10:00:00,1081.18000,1083.53000,1080.50000,1081.67000,12472
2016-01-13 14:00:00,1081.71000,1092.75000,1081.16000,1090.81000,22170
2016-01-13 18:00:00,1090.90000,1095.47000,1086.63000,1094.58000,9340
2016-01-13 22:00:00,1093.41000,1095.38000,1092.02000,1092.51000,5146
2016-01-14 02:00:00,1092.54000,1095.19000,1091.21000,1091.60000,4312
2016-01-14 06:00:00,1091.56000,1093.10000,1088.08000,1091.55000,10942
2016-01-14 10:00:00,1091.53000,1093.15000,1083.44000,1084.30000,14464
2016-01-14 14:00:00,1084.21000,1088.83000,1076.80000,1077.90000,21452
2016-01-14 18:00:00,1077.96000,1080.64000,1071.43000,1077.19000,9138
2016-01-14 22:00:00,1079.18000,1079.86000,1076.33000,1078.26000,4822
2016-01-15 02:00:00,1078.29000,1082.22000,1078.26000,1080.57000,6526
2016-01-15 06:00:00,1080.53000,1085.21000,1080.52000,1083.43000,13072
2016-01-15 10:00:00,1083.44000,1097.38000,1080.27000,1093.80000,18834
2016-01-15 14:00:00,1093.96000,1097.29000,1086.76000,1090.14000,27600
2016-01-15 18:00:00,1090.17000,1091.80000,1088.19000,1088.31000,11528
2016-01-17 22:00:00,1089.35000,1092.99000,1089.28000,1091.18000,5558
2016-01-18 02:00:00,1091.16000,1093.26000,1090.31000,1090.31000,4616
2016-01-18 06:00:00,1090.30000,1091.82000,1087.48000,1091.25000,10354
2016-01-18 10:00:00,1091.24000,1092.20000,1089.25000,1089.90000,9244
2016-01-18 14:00:00,1089.89000,1090.26000,1088.69000,1089.17000,6520
2016-01-18 22:00:00,1089.02000,1089.88000,1085.44000,1085.78000,3804
2016-01-19 02:00:00,1085.70000,1090.70000,1085.70000,1088.75000,7080
2016-01-19 06:00:00,1088.74000,1094.62000,1087.61000,1088.93000,16800
2016-01-19 10:00:00,1088.92000,1089.23000,1082.64000,1086.13000,18082
2016-01-19 14:00:00,1085.91000,1090.11000,1083.68000,1089.39000,27012
2016-01-19 18:00:00,1089.35000,1091.80000,1086.78000,1087.09000,8522
2016-01-19 22:00:00,1087.16000,1092.05000,1087.16000,1091.54000,4858
2016-01-20 02:00:00,1091.59000,1093.74000,1090.15000,1091.19000,8148
2016-01-20 06:00:00,1091.23000,1096.99000,1091.19000,1093.33000,17208
2016-01-20 10:00:00,1093.32000,1103.05000,1093.03000,1099.60000,21414
2016-01-20 14:00:00,1099.57000,1109.58000,1097.19000,1105.74000,28742
2016-01-20 18:00:00,1105.78000,1106.78000,1099.44000,1101.29000,10970
2016-01-20 22:00:00,1100.78000,1102.23000,1097.29000,1099.75000,6840
2016-01-21 02:00:00,1099.74000,1103.55000,1099.11000,1103.37000,9516
2016-01-21 06:00:00,1103.36000,1104.53000,1098.50000,1098.74000,17660
2016-01-21 10:00:00,1098.76000,1102.27000,1093.50000,1097.67000,23066
2016-01-21 14:00:00,1097.53000,1099.81000,1092.49000,1095.05000,32726
2016-01-21 18:00:00,1095.06000,1102.54000,1092.96000,1101.80000,12372
2016-01-21 22:00:00,1101.23000,1101.99000,1097.99000,1099.46000,6362
2016-01-22 02:00:00,1099.43000,1101.52000,1098.40000,1098.69000,6882
2016-01-22 06:00:00,1098.72000,1099.32000,1095.05000,1097.08000,16616
2016-01-22 10:00:00,1097.02000,1099.62000,1094.39000,1095.04000,20248
2016-01-22 14:00:00,1095.07000,1102.79000,1094.05000,1097.76000,23064
2016-01-22 18:00:00,1097.70000,1098.65000,1095.64000,1097.60000,4556
2016-01-24 22:00:00,1097.50000,1101.04000,1097.28000,1100.17000,4282
2016-01-25 02:00:00,1100.13000,1102.22000,1099.76000,1100.72000,5732
2016-01-25 06:00:00,1100.76000,1105.48000,1099.62000,1104.38000,14498
