time_utc,open,high,low,close,tick_volume
2016-01-03 22:00:00,1.47339,1.47449,1.47339,1.47347,418
2016-01-03 23:00:00,1.47343,1.47380,1.47266,1.47353,1438
2016-01-04 00:00:00,1.47354,1.47408,1.47239,1.47276,1620
2016-01-04 01:00:00,1.47293,1.47301,1.46930,1.47177,3956
2016-01-04 02:00:00,1.47176,1.47227,1.47040,1.47180,3652
2016-01-04 03:00:00,1.47181,1.47233,1.47157,1.47176,1602
2016-01-04 04:00:00,1.47175,1.47356,1.47173,1.47354,2060
2016-01-04 05:00:00,1.47349,1.47456,1.47309,1.47364,2976
2016-01-04 06:00:00,1.47368,1.47412,1.47347,1.47383,2080
2016-01-04 07:00:00,1.47392,1.47622,1.47209,1.47591,4742
2016-01-04 08:00:00,1.47593,1.47723,1.47354,1.47698,6192
2016-01-04 09:00:00,1.47694,1.47840,1.47536,1.47833,4806
2016-01-04 10:00:00,1.47832,1.48153,1.47782,1.47892,5166
2016-01-04 11:00:00,1.47893,1.47903,1.47640,1.47685,4326
2016-01-04 12:00:00,1.47682,1.47861,1.47549,1.47599,4208
2016-01-04 13:00:00,1.47606,1.47662,1.47341,1.47362,5494
2016-01-04 14:00:00,1.47363,1.47435,1.47146,1.47172,5540
2016-01-04 15:00:00,1.47238,1.47300,1.46870,1.46887,7128
2016-01-04 16:00:00,1.46889,1.46896,1.46630,1.46841,5496
2016-01-04 17:00:00,1.46840,1.47001,1.46803,1.46970,3346
2016-01-04 18:00:00,1.46969,1.47111,1.46945,1.47063,2236
2016-01-04 19:00:00,1.47062,1.47146,1.47038,1.47114,2066
2016-01-04 20:00:00,1.47112,1.47230,1.47107,1.47227,2736
2016-01-04 21:00:00,1.47228,1.47271,1.47126,1.47178,1732
2016-01-04 22:00:00,1.47143,1.47204,1.47103,1.47154,1720
2016-01-04 23:00:00,1.47152,1.47159,1.47065,1.47115,1826
2016-01-05 00:00:00,1.47113,1.47177,1.47057,1.47171,1236
2016-01-05 01:00:00,1.47176,1.47239,1.47153,1.47237,2106
2016-01-05 02:00:00,1.47235,1.47239,1.47071,1.47134,1322
2016-01-05 03:00:00,1.47135,1.47216,1.47132,1.47201,1352
2016-01-05 04:00:00,1.47196,1.47253,1.47159,1.47182,1538
2016-01-05 05:00:00,1.47184,1.47217,1.47155,1.47199,1134
2016-01-05 06:00:00,1.47198,1.47245,1.47135,1.47244,2270
2016-01-05 07:00:00,1.47243,1.47243,1.47060,1.47103,3894
2016-01-05 08:00:00,1.47094,1.47174,1.46770,1.46877,5410
2016-01-05 09:00:00,1.46878,1.47135,1.46754,1.46789,4882
2016-01-05 10:00:00,1.46788,1.46862,1.46594,1.46645,5236
2016-01-05 11:00:00,1.46646,1.46800,1.46613,1.46680,4510
2016-01-05 12:00:00,1.46677,1.46830,1.46651,1.46820,4488
2016-01-05 13:00:00,1.46816,1.46829,1.46673,1.46801,5566
2016-01-05 14:00:00,1.46800,1.46954,1.46660,1.46660,5608
2016-01-05 15:00:00,1.46663,1.46663,1.46383,1.46474,6528
2016-01-05 16:00:00,1.46471,1.46700,1.46461,1.46598,5252
2016-01-05 17:00:00,1.46605,1.46669,1.46477,1.46617,3472
2016-01-05 18:00:00,1.46616,1.46690,1.46604,1.46624,2478
2016-01-05 19:00:00,1.46623,1.46698,1.46597,1.46636,2284
2016-01-05 20:00:00,1.46637,1.46730,1.46622,1.46694,2480
2016-01-05 21:00:00,1.46692,1.46791,1.46660,1.46749,1906
2016-01-05 22:00:00,1.46664,1.46792,1.46664,1.46749,2124
2016-01-05 23:00:00,1.46751,1.46817,1.46693,1.46738,2496
2016-01-06 00:00:00,1.46736,1.46768,1.46675,1.46714,1780
2016-01-06 01:00:00,1.46712,1.46801,1.46636,1.46666,5250
2016-01-06 02:00:00,1.46667,1.46722,1.46585,1.46585,3642
2016-01-06 03:00:00,1.46584,1.46680,1.46543,1.46616,2814
2016-01-06 04:00:00,1.46619,1.46702,1.46588,1.46613,1988
2016-01-06 05:00:00,1.46614,1.46617,1.46533,1.46555,1838
2016-01-06 06:00:00,1.46556,1.46622,1.46485,1.46549,2822
2016-01-06 07:00:00,1.46545,1.46589,1.46387,1.46420,6300
2016-01-06 08:00:00,1.46419,1.46452,1.46192,1.46357,5220
2016-01-06 09:00:00,1.46358,1.46502,1.46256,1.46480,5708
2016-01-06 10:00:00,1.46479,1.46586,1.46421,1.46555,4336
2016-01-06 11:00:00,1.46553,1.46660,1.46479,1.46628,4940
2016-01-06 12:00:00,1.46625,1.46625,1.46396,1.46435,4794
2016-01-06 13:00:00,1.46436,1.46481,1.46005,1.46417,7000
2016-01-06 14:00:00,1.46413,1.46463,1.46219,1.46412,6040
2016-01-06 15:00:00,1.46411,1.46479,1.46021,1.46062,7068
2016-01-06 16:00:00,1.46064,1.46289,1.46055,1.46263,5320
2016-01-06 17:00:00,1.46262,1.46262,1.46147,1.46209,3228
2016-01-06 18:00:00,1.46211,1.46247,1.46157,1.46158,2906
2016-01-06 19:00:00,1.46156,1.46435,1.46156,1.46278,7870
2016-01-06 20:00:00,1.46279,1.46350,1.46214,1.46297,3932
2016-01-06 21:00:00,1.46295,1.46340,1.46241,1.46300,1922
2016-01-06 22:00:00,1.46298,1.46345,1.46216,1.46265,2614
2016-01-06 23:00:00,1.46276,1.46329,1.46258,1.46279,1012
2016-01-07 00:00:00,1.46278,1.46345,1.46266,1.46308,2074
