time_utc,open,high,low,close,tick_volume
2016-01-03 22:00:00,120.20800,120.46300,120.01000,120.02700,13110
2016-01-04 02:00:00,120.02800,120.04200,119.23900,119.37800,21908
2016-01-04 06:00:00,119.38000,119.47100,118.70300,118.87600,22916
2016-01-04 10:00:00,118.87500,119.36000,118.71800,119.25700,20268
2016-01-04 14:00:00,119.25800,119.43500,119.00800,119.40700,26122
2016-01-04 18:00:00,119.40500,119.50000,119.28100,119.44700,12654
2016-01-04 22:00:00,119.43400,119.60600,119.09700,119.56300,16994
2016-01-05 02:00:00,119.58200,119.70000,119.33900,119.42100,16084
2016-01-05 06:00:00,119.42200,119.57800,118.95900,119.05000,21442
2016-01-05 10:00:00,119.04800,119.16400,118.79400,119.14200,20172
2016-01-05 14:00:00,119.14300,119.27600,118.83800,118.98900,24200
2016-01-05 18:00:00,118.98800,119.07000,118.85500,119.06000,11742
2016-01-05 22:00:00,119.05900,119.16600,118.35500,118.56600,17212
2016-01-06 02:00:00,118.56500,118.81300,118.38500,118.74100,23112
2016-01-06 06:00:00,118.75000,118.79600,118.40700,118.47600,21818
2016-01-06 10:00:00,118.47500,118.71700,118.25000,118.71700,22708
2016-01-06 14:00:00,118.71200,118.76700,118.51200,118.60800,23484
2016-01-06 18:00:00,118.60100,118.67900,118.35300,118.47600,17848
2016-01-06 22:00:00,118.47300,118.75100,117.66100,117.88100,18258
2016-01-07 02:00:00,117.88400,118.24000,117.82200,118.00900,21768
2016-01-07 06:00:00,118.00200,118.19200,117.32800,117.54300,28940
2016-01-07 10:00:00,117.55400,117.83300,117.43200,117.83200,22502
2016-01-07 14:00:00,117.82800,118.26500,117.77100,117.96500,29922
2016-01-07 18:00:00,117.96600,117.96900,117.44500,117.66600,20740
2016-01-07 22:00:00,117.65600,118.59400,117.49900,118.26400,22726
2016-01-08 02:00:00,118.26100,118.41800,118.14400,118.31200,20444
2016-01-08 06:00:00,118.31300,118.55900,118.16500,118.29500,19112
2016-01-08 10:00:00,118.29400,118.81200,118.19900,118.27200,21010
2016-01-08 14:00:00,118.27700,118.33200,117.44900,117.80100,36680
2016-01-08 18:00:00,117.80000,117.85000,117.31900,117.42600,17888
2016-01-10 22:00:00,117.14900,117.44700,116.69200,117.21600,23002
2016-01-11 02:00:00,117.21300,117.44500,117.16700,117.32000,20996
